# 后端依赖 (Rust)
#
# 字段说明:
#   name    依赖名称
#   version 版本号
#   url     官网/仓库地址
#   desc    简介
#
# 注意: 文件通过 include_str! 嵌入二进制，修改后需重新编译 Rust 后端生效

| name | version | url | desc |
| --- | --- | --- | --- |
| Tauri 2 | 2 | https://v2.tauri.app | 跨平台桌面应用框架 |
| tauri-build | 2 | https://docs.rs/tauri-build | Tauri 构建脚本支持 |
| Tauri Plugin Shell | 2 | https://v2.tauri.app/plugin/shell/ | 官方 Shell 插件 |
| Tauri Plugin Dialog | 2 | https://v2.tauri.app/plugin/dialog/ | 官方对话框插件 |
| Tauri Plugin FS | 2 | https://v2.tauri.app/plugin/file-system/ | 官方文件系统插件 |
| Tauri Plugin Notification | 2 | https://v2.tauri.app/plugin/notification/ | 官方通知插件 |
| Tauri Plugin Deep Link | 2 | https://v2.tauri.app/plugin/deep-link/ | 官方深度链接插件 |
| Tauri Plugin Single Instance | 2 | https://v2.tauri.app/plugin/single-instance/ | 官方单实例插件 |
| Tauri Plugin Process | 2 | https://v2.tauri.app/plugin/process/ | 官方进程管理插件 |
| Tauri Plugin Updater | 2 | https://v2.tauri.app/plugin/updater/ | 官方自动更新插件（非 Windows） |
| Tokio | 1.35 | https://tokio.rs | Rust 异步运行时 |
| Reqwest | 0.12 | https://docs.rs/reqwest | HTTP 客户端（rustls-tls） |
| rustls-native-certs | 0.8 | https://docs.rs/rustls-native-certs | 操作系统信任根证书加载 |
| x509-parser | 0.17 | https://docs.rs/x509-parser | X.509 证书解析（CA 属性/有效期校验） |
| Serde | 1.0 | https://serde.rs | 序列化/反序列化框架 |
| serde_json | 1.0 | https://docs.rs/serde_json | JSON 序列化 |
| anyhow | 1 | https://docs.rs/anyhow | 错误处理 |
| thiserror | 1.0 | https://docs.rs/thiserror | 自定义错误类型 |
| log | 0.4 | https://docs.rs/log | 日志门面 |
| env_logger | 0.10 | https://docs.rs/env_logger | 日志后端 |
| once_cell | 1 | https://docs.rs/once_cell | 全局单例（Lazy 初始化） |
| libloading | 0.8 | https://docs.rs/libloading | 动态库加载（SDK FFI） |
| zip | 4 | https://docs.rs/zip | ZIP 压缩/解压（jar 读取） |
| flate2 | 1 | https://docs.rs/flate2 | gzip 解压（NBT 文件 .dat） |
| fastnbt | 2 | https://docs.rs/fastnbt | NBT 数据解析（存档 level.dat 等） |
| notify | 8 | https://docs.rs/notify | 文件系统监听（mods 目录刷新） |
| sysinfo | 0.29 | https://docs.rs/sysinfo | 系统信息收集（进程/内存） |
| netstat2 | 0.11 | https://docs.rs/netstat2 | 本机网络连接枚举（Frp 内网端口选择） |
| sha1 | 0.10 | https://docs.rs/sha1 | SHA-1 哈希 |
| sha2 | 0.10 | https://docs.rs/sha2 | SHA-2 哈希 |
| md5 | 0.7 | https://docs.rs/md-5 | MD5 哈希 |
| hex | 0.4 | https://docs.rs/hex | 十六进制编解码 |
| base64 | 0.22 | https://docs.rs/base64 | Base64 编解码 |
| encoding_rs | 0.8 | https://docs.rs/encoding_rs | 字符编码转换 |
| urlencoding | 2.1 | https://docs.rs/urlencoding | URL 编码 |
| url | 2 | https://docs.rs/url | URL 解析 |
| regex | 1 | https://docs.rs/regex | 正则表达式 |
| chrono | 0.4 | https://docs.rs/chrono | 日期时间处理 |
| futures-util | 0.3 | https://docs.rs/futures-util | 异步工具（join_all 等） |
| Ed25519-Dalek | 2 | https://docs.rs/ed25519-dalek | Ed25519 签名（设备身份/注册签名） |
| X25519-Dalek | 2 | https://docs.rs/x25519-dalek | X25519 ECDH 密钥协商（会话密钥派生） |
| hkdf | 0.12 | https://docs.rs/hkdf | HKDF-SHA256 密钥派生 |
| hmac | 0.12 | https://docs.rs/hmac | HMAC-SHA256 登录签名 |
| aes-gcm | 0.10 | https://docs.rs/aes-gcm | AES-256-GCM 加密（登录/ECIES 信封） |
| rsa | 0.9 | https://docs.rs/rsa | RSA-OAEP 加密（注册 content 加密） |
| rand | 0.8 | https://docs.rs/rand | 随机数生成（密钥/nonce） |
| pem | 3 | https://docs.rs/pem | PEM 格式密钥解析 |
| tun-rs | 2 | https://docs.rs/tun-rs | 虚拟网卡 TUN 接口管理（联机功能） |
| windows | 0.58 | https://docs.rs/windows | Windows API 绑定（窗口标题修改） |
| winreg | 0.52 | https://docs.rs/winreg | Windows 注册表读写（仅 Windows） |
| libc | 0.2 | https://docs.rs/libc | Unix 进程组管理（仅 Unix） |
| rusqlite | 0.40 | https://docs.rs/rusqlite | SQLite 数据库访问 |
